symbol,name,source,adjust,download_method,fallback_used,cache_file,start_date,end_date,row_count,abnormal_return_count,max_abs_return,max_return_date,possible_adjustment_issue,audit_status,audit_reason
510300,沪深300ETF华泰柏瑞,akshare.fund_etf_hist_sina,unknown,akshare_sina,False,data\cache\510300.csv,2019-01-02,2026-05-13,1782,0,0.0940811579219436,2024-09-30,False,warning_unknown_adjustment,source does not expose an explicit qfq/hfq/none adjustment label
588000,科创50ETF华夏,akshare.fund_etf_hist_sina,unknown,akshare_sina,False,data\cache\588000.csv,2020-11-16,2026-05-13,1329,0,0.19999999999999996,2024-10-08,False,warning_unknown_adjustment,source does not expose an explicit qfq/hfq/none adjustment label
563360,A500ETF华泰柏瑞,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\563360.csv,2024-10-15,2026-05-12,381,0,0.0922768304914744,2025-04-07,False,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
159352,A500ETF南方,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\159352.csv,2024-10-15,2026-05-12,381,0,0.09466263846928502,2025-04-07,False,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
588200,科创芯片ETF嘉实,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\588200.csv,2022-10-26,2026-05-12,857,1,0.20040691759918605,2024-09-30,True,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
159338,中证A500ETF国泰,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\159338.csv,2024-10-15,2026-05-12,381,0,0.08156779661016944,2025-04-07,False,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
159915,创业板ETF易方达,akshare.fund_etf_hist_sina,unknown,akshare_sina,False,data\cache\159915.csv,2019-01-02,2026-05-13,1781,0,0.19999999999999996,2024-09-30,False,warning_unknown_adjustment,source does not expose an explicit qfq/hfq/none adjustment label
510500,中证500ETF南方,akshare.fund_etf_hist_sina,unknown,akshare_sina,False,data\cache\510500.csv,2019-01-02,2026-05-13,1782,0,0.12742382271468145,2022-08-29,False,warning_unknown_adjustment,source does not expose an explicit qfq/hfq/none adjustment label
510050,上证50ETF华夏,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\510050.csv,2019-01-02,2026-05-12,1781,0,0.08848446815186706,2020-07-06,False,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
510310,沪深300ETF易方达,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\510310.csv,2019-01-02,2026-05-12,1781,1,1.0093808630393997,2024-09-23,True,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
159919,沪深300ETF嘉实,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\159919.csv,2019-01-02,2026-05-12,1780,0,0.10093896713615025,2019-01-14,False,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
512050,A500ETF华夏,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\512050.csv,2024-11-15,2026-05-12,358,0,0.09042553191489355,2025-04-07,False,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
515880,通信ETF国泰,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\515880.csv,2019-09-06,2026-05-12,1614,1,0.6569620253164556,2026-02-03,True,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
159516,半导体设备ETF国泰,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\159516.csv,2023-07-27,2026-05-12,673,1,0.48674698795180726,2026-03-30,True,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
510330,沪深300ETF华夏,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\510330.csv,2019-01-02,2026-05-12,1781,0,0.09867751780264511,2024-09-30,False,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
159361,A500ETF易方达,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\159361.csv,2024-11-19,2026-05-12,356,0,0.0708333333333333,2025-04-07,False,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
159326,电网设备ETF华夏,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\159326.csv,2024-09-09,2026-05-12,400,0,0.10036496350364976,2025-04-07,False,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
588170,科创半导体ETF华夏,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\588170.csv,2025-04-08,2026-05-12,264,0,0.08254200146092039,2025-09-24,False,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
512880,证券ETF国泰,akshare.fund_etf_hist_sina,unknown,akshare_sina,False,data\cache\512880.csv,2019-01-02,2026-05-13,1782,0,0.1003976143141152,2024-09-30,False,warning_unknown_adjustment,source does not expose an explicit qfq/hfq/none adjustment label
512480,半导体ETF国联安,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\512480.csv,2019-06-12,2026-05-12,1675,1,0.48904267589388695,2021-03-29,True,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
159949,创业板50ETF华安,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\159949.csv,2019-01-02,2026-05-12,1781,1,0.2001982160555007,2024-10-08,True,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
159845,中证1000ETF华夏,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\159845.csv,2021-03-31,2026-05-12,1237,2,1.7691292875989446,2022-08-02,True,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
159206,卫星ETF永赢,akshare.fund_etf_hist_sina,unknown,legacy_cache,False,data\cache\159206.csv,2025-03-14,2026-05-12,280,0,0.10015487867836836,2026-01-23,False,warning_unknown_adjustment,legacy cache without metadata; adjustment cannot be confirmed
